Product Name,Product Code,Product Active,Product Category,Unit Price,Tax,Description
TrueHunt Chicken Adult - 1kg,TH-CA-1KG,True,Dry Food,599,GST 5%,Premium chicken formula for adult cats 1+ years. 1kg pack.
TrueHunt Chicken Adult - 2kg,TH-CA-2KG,True,Dry Food,1099,GST 5%,Premium chicken formula for adult cats 1+ years. 2kg pack. Most popular.
TrueHunt Chicken Adult - 5kg,TH-CA-5KG,True,Dry Food,2499,GST 5%,Premium chicken formula for adult cats 1+ years. 5kg bulk pack.
TrueHunt Fish Adult - 1kg,TH-FA-1KG,True,Dry Food,649,GST 5%,Premium fish formula for adult cats 1+ years. 1kg pack.
TrueHunt Fish Adult - 2kg,TH-FA-2KG,True,Dry Food,1199,GST 5%,Premium fish formula for adult cats 1+ years. 2kg pack.
TrueHunt Fish Adult - 5kg,TH-FA-5KG,True,Dry Food,2699,GST 5%,Premium fish formula for adult cats 1+ years. 5kg bulk pack.
TrueHunt Chicken Kitten - 1kg,TH-CK-1KG,True,Dry Food,549,GST 5%,Nutrient-rich chicken formula for kittens under 1 year. 1kg pack.
TrueHunt Chicken Kitten - 1.5kg,TH-CK-1.5KG,True,Dry Food,799,GST 5%,Nutrient-rich chicken formula for kittens under 1 year. 1.5kg pack.
TrueHunt Chicken Kitten - 3kg,TH-CK-3KG,True,Dry Food,1499,GST 5%,Nutrient-rich chicken formula for kittens under 1 year. 3kg pack.
TrueHunt Fish Kitten - 1kg,TH-FK-1KG,True,Dry Food,599,GST 5%,Omega-rich fish formula for kittens under 1 year. 1kg pack.
TrueHunt Fish Kitten - 1.5kg,TH-FK-1.5KG,True,Dry Food,899,GST 5%,Omega-rich fish formula for kittens under 1 year. 1.5kg pack.
TrueHunt Fish Kitten - 3kg,TH-FK-3KG,True,Dry Food,1699,GST 5%,Omega-rich fish formula for kittens under 1 year. 3kg pack.
TrueHunt Grain-Free Adult - 1kg,TH-GF-1KG,True,Dry Food,749,GST 5%,Grain-free chicken formula for sensitive stomachs. 1kg pack.
TrueHunt Grain-Free Adult - 2kg,TH-GF-2KG,True,Dry Food,1399,GST 5%,Grain-free chicken formula for sensitive stomachs. 2kg pack.
TrueHunt Dental Treats - 100g,TH-DT-100G,True,Treats,199,GST 5%,Crunchy dental treats for healthy teeth. 100g pack.
TrueHunt Hairball Treats - 100g,TH-HT-100G,True,Treats,199,GST 5%,Hairball control treats with natural fibers. 100g pack.
TrueHunt Training Treats - 100g,TH-TT-100G,True,Treats,199,GST 5%,Soft training treats with real chicken. 100g pack.
TrueHunt Multi-Cat Bundle (2x2kg),TH-MC-BUNDLE,True,Bundle,1999,GST 5%,Special bundle for multi-cat households. 2x 2kg packs + treats.
TrueHunt Starter Pack (Trial),TH-STARTER,True,Bundle,299,GST 5%,Trial pack with 200g samples of 3 flavors. One-time purchase.
TrueHunt Annual Mega Pack,TH-ANNUAL,True,Bundle,9999,GST 5%,Annual subscription mega pack. Best value for committed subscribers.
